Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-05-15 04-AM,BTCUSD,9475.26,9508.06,9430,9442.71,312.42,2959077.44
2020-05-15 04-PM,BTCUSD,9467.73,9516.2,9440,9470.84,1034.29,9810944.04
2020-05-15 05-AM,BTCUSD,9442.71,9520.13,9358.83,9505.95,737.8,6964090.11
2020-05-15 05-PM,BTCUSD,9470.84,9499.51,9440,9466.11,156.72,1482902.18
2020-05-15 06-AM,BTCUSD,9505.95,9553.24,9496.45,9550.97,434.06,4137321.43
2020-05-15 06-PM,BTCUSD,9466.11,9530.9,9466.11,9480.66,203.9,1937759.13
2020-05-15 07-AM,BTCUSD,9550.97,9725.05,9541.14,9681.29,900.83,8691492.25
2020-05-15 07-PM,BTCUSD,9480.66,9510.94,9312.27,9327.18,1595.25,14970372.82
2020-05-15 08-AM,BTCUSD,9681.29,9711.39,9602.59,9615.61,744.05,7179054.64
2020-05-15 08-PM,BTCUSD,9327.18,9400.32,9112,9250.19,1314.56,12191817.36
2020-05-15 09-AM,BTCUSD,9615.61,9657.5,9545.36,9622.2,642.68,6172515.71
2020-05-15 09-PM,BTCUSD,9250.19,9444,9199.84,9421.71,360.92,3362714.15
2020-05-15 10-AM,BTCUSD,9622.2,9628.95,9460.32,9582.49,593.86,5670126.28
2020-05-15 10-PM,BTCUSD,9421.71,9485.28,9332.92,9362.6,358.96,3378982.0
2020-05-15 11-AM,BTCUSD,9582.49,9655.18,9553.8,9588.5,312.17,2999171.79
2020-05-15 11-PM,BTCUSD,9362.6,9390.73,9250,9306.21,345.02,3214829.32
2020-05-15 12-AM,BTCUSD,9793.5,9844.66,9714.14,9767.57,535.93,5236086.18
2020-05-15 12-PM,BTCUSD,9588.5,9588.5,9498.27,9513.78,670.94,6396200.58
2020-05-16 01-AM,BTCUSD,9394.68,9440,9360.93,9405.44,248.51,2336748.37
2020-05-16 01-PM,BTCUSD,9473.89,9531.83,9421.04,9457.24,522.59,4949311.85
