Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2019-06-28,BTCUSD,11153.74,12447.46,10739.1,12354.43,18718.1,218180576.58
2019-06-29,BTCUSD,12354.43,12386.76,11317.03,11858.62,12266.0,144889140.81
2019-06-30,BTCUSD,11858.62,12200.06,10651.3,10760.1,12642.62,142891926.13
2019-07-01,BTCUSD,10760.1,11200.41,9950,10577.43,22917.44,243205448.54
2019-07-02,BTCUSD,10577.43,10942.63,9614.08,10828.9,20285.25,206617402.08
2019-07-03,BTCUSD,10828.9,12009,10828.9,11967.43,19389.85,220385744.08
2019-07-04,BTCUSD,11967.43,12061.04,11052.74,11146.34,11185.29,130996748.9
2019-07-05,BTCUSD,11146.34,11440,10769.15,10997.84,11893.44,132207381.38
2019-07-06,BTCUSD,10997.84,11735,10982.89,11240,7892.18,90077908.73
2019-07-07,BTCUSD,11240,11627,11083.76,11469.96,6683.06,75851416.72
2019-07-08,BTCUSD,11469.96,12398,11332.19,12286.14,11901.9,142163191.22
2019-07-09,BTCUSD,12286.14,12883.48,12030.43,12567.23,15115.55,188848935.9
2019-07-10,BTCUSD,12567.23,13200,11550,12098.95,19838.39,248386820.65
2019-07-11,BTCUSD,12098.95,12104.97,10966.81,11349.24,18468.69,212707393.65
2019-07-12,BTCUSD,11349.24,11942.39,11083.52,11808.91,9176.68,105982547.45
2019-07-13,BTCUSD,11808.91,11846.61,10810,11378.79,9391.35,105947622.16
2019-07-14,BTCUSD,11378.79,11467.3,10090,10191.87,12170.41,129392649.07
2019-07-15,BTCUSD,10191.87,11080.37,9855,10850,16048.03,166452851.72
2019-07-16,BTCUSD,10850,11042.11,9366,9412.81,20761.03,207176966.83
2019-07-17,BTCUSD,9412.81,9993,9049.54,9699.35,16992.79,161878855.06
2019-07-18,BTCUSD,9699.35,10797,9280.33,10648.6,18289.54,184684478.59
2019-07-19,BTCUSD,10648.6,10776.99,10102.58,10535.43,13787.46,143864052.15
2019-07-20,BTCUSD,10535.43,11120,10359.17,10750.11,9964.67,106763959.49
2019-07-21,BTCUSD,10750.11,10839.09,10325,10600.24,5628.16,59511306.04
2019-07-22,BTCUSD,10600.24,10686.89,10052.25,10328.83,9371.31,97152157.16
2019-07-23,BTCUSD,10328.83,10328.83,9801.88,9847.02,9040.85,90667673.97
2019-07-24,BTCUSD,9847.02,9911.5,9514.96,9763.67,9433.35,91609723.74
2019-07-25,BTCUSD,9763.67,10187,9734.19,9883.96,6377.96,63834998.12
2019-07-26,BTCUSD,9883.96,9897.46,9650,9846.94,5570.11,54443100.84
2019-07-27,BTCUSD,9846.94,10235,9299,9481.37,9614.1,92385636.33
2019-07-28,BTCUSD,9481.37,9634.5,9111,9533.19,3860.83,36403147.17
2019-07-29,BTCUSD,9533.19,9725.17,9360,9495.39,5068.65,48310068.33
2019-07-30,BTCUSD,9495.39,9775,9373.48,9593.62,5533.97,52939667.09
2019-07-31,BTCUSD,9593.62,10143.2,9574.09,10085.34,7917.51,78200173.69
2019-08-01,BTCUSD,10085.34,10499,9878.09,10407.71,7681.73,77733048.8
2019-08-02,BTCUSD,10407.71,10670,10318.47,10529.51,9286.86,97381562.11
2019-08-03,BTCUSD,10529.51,10919,10502.8,10821.52,6996.12,75441657.32
2019-08-04,BTCUSD,10821.52,11085.99,10564.96,10986.96,7556.33,81929591.53
2019-08-05,BTCUSD,10986.96,11959.36,10986.55,11800,17260.46,201353715.36
2019-08-06,BTCUSD,11800,12325,11200,11470,16420.58,193547554.62
2019-08-07,BTCUSD,11470,12145.42,11388.01,11971.57,15480.46,182167600.37
2019-08-08,BTCUSD,11971.57,12061.1,11450.93,11983.43,10144.46,119651274.84
2019-08-09,BTCUSD,11983.43,12040,11650,11859.32,7336.91,86686857.78
2019-08-10,BTCUSD,11859.32,11976.68,11200,11273.2,7447.25,85889772.9
2019-08-11,BTCUSD,11273.2,11589.73,11080.37,11528.73,4361.39,49596364.04
2019-08-12,BTCUSD,11528.73,11551.57,11194.04,11385.11,3417.71,38863136.43
2019-08-13,BTCUSD,11385.11,11446.94,10738.58,10862.28,9003.18,99425694.62
2019-08-14,BTCUSD,10862.28,10862.28,9888.57,10022.99,12678.94,131558630.97
2019-08-15,BTCUSD,10022.99,10444.66,9467.57,10301.44,15083.17,149955048.45
2019-08-16,BTCUSD,10301.44,10540,9736.96,10354.34,11080.4,112415461.63
2019-08-17,BTCUSD,10354.34,10472.93,9974.51,10210.89,3907.53,39960850.31
2019-08-18,BTCUSD,10210.89,10515,10065.41,10318.99,3398.42,35070670.11
2019-08-19,BTCUSD,10318.99,10940,10267.56,10927.3,8044.02,85921192.47
2019-08-20,BTCUSD,10927.3,10955.48,10549.74,10772.22,5883.6,63258208.57
2019-08-21,BTCUSD,10772.22,10807.54,9853.45,10134.75,9812.62,99715196.71
2019-08-22,BTCUSD,10134.75,10238.29,9755.53,10112.01,6710.31,67141742.8
2019-08-23,BTCUSD,10112.01,10479,10051,10401.6,5557.29,57205208.91
2019-08-24,BTCUSD,10401.6,10432,9885.48,10149.7,5106.56,51560324.93
2019-08-25,BTCUSD,10149.7,10355.89,9907.86,10136.75,3953.4,39932862.82
2019-08-26,BTCUSD,10136.75,10650,10136.75,10360.97,7166.68,74427752.3
2019-08-27,BTCUSD,10360.97,10375.53,10019.1,10167.29,4781.34,48582567.25
2019-08-28,BTCUSD,10167.29,10280.71,9555,9711.78,9303.16,92139450.46
2019-08-29,BTCUSD,9711.78,9720.2,9320,9490,7717.11,73190665.17
2019-08-30,BTCUSD,9490,9700,9350.1,9579.75,5317.31,50745922.28
2019-08-31,BTCUSD,9579.75,9682.73,9443.19,9594.15,1572.16,15068565.55
2019-09-01,BTCUSD,9594.15,9832,9538.75,9767.53,1799.37,17385154.88
2019-09-02,BTCUSD,9767.53,10471,9753.24,10384.48,6144.8,62231973.86
2019-09-03,BTCUSD,10384.48,10783,10286,10617.61,11443.54,120927751.37
2019-09-04,BTCUSD,10617.61,10834.15,10378.7,10586.26,10088.72,106597637.79
